sampling_rates_mhz,frequency_hz,true_angle_deg,music_angle_deg,esprit_angle_deg,music_error_deg,esprit_error_deg,status
25+32,1000000000,-60,-60.0,-59.99999999999999,0.0,7.105427357601002e-15,ok
25+32,1000000000,-45,-45.00001245123328,-45.00000000000001,-1.2451233281751684e-05,-7.105427357601002e-15,ok
25+32,1000000000,-30,-30.000007085968356,-29.999999999999993,-7.085968356079775e-06,7.105427357601002e-15,ok
25+32,1000000000,-10,-10.00000214465054,-10.000000000000005,-2.1446505407141103e-06,-5.329070518200751e-15,ok
25+32,1000000000,0,8.229733917277038e-13,-0.0,8.229733917277038e-13,-0.0,ok
25+32,1000000000,10,10.000002144652186,10.000000000000005,2.1446521856205436e-06,5.329070518200751e-15,ok
25+32,1000000000,30,30.00000708597,29.999999999999993,7.085970000986208e-06,-7.105427357601002e-15,ok
25+32,1000000000,45,45.00001245123492,45.00000000000001,1.2451234923105403e-05,7.105427357601002e-15,ok
25+32,1000000000,60,60.000000000001705,59.999999999999986,1.7053025658242404e-12,-1.4210854715202004e-14,ok
25+32,1300000000,-60,-60.0,-59.999999999999986,0.0,1.4210854715202004e-14,ok
25+32,1300000000,-45,-45.000012221844145,-45.00000000000001,-1.222184414473304e-05,-7.105427357601002e-15,ok
25+32,1300000000,-30,-30.00000695707405,-29.999999999999996,-6.957074049296352e-06,3.552713678800501e-15,ok
25+32,1300000000,-10,-10.000002105935136,-9.999999999999991,-2.1059351364982604e-06,8.881784197001252e-15,ok
25+32,1300000000,0,8.235087232228046e-13,-0.0,8.235087232228046e-13,-0.0,ok
25+32,1300000000,10,10.000002105936783,9.999999999999993,2.1059367831810505e-06,-7.105427357601002e-15,ok
25+32,1300000000,30,30.000006957075698,29.999999999999996,6.957075697755499e-06,-3.552713678800501e-15,ok
25+32,1300000000,45,45.00001222184579,45.00000000000001,1.2221845793192188e-05,7.105427357601002e-15,ok
25+32,1300000000,60,60.000000000001705,59.999999999999986,1.7053025658242404e-12,-1.4210854715202004e-14,ok
200+250+300,300000000,-60,-60.0,-60.00000000000001,0.0,-7.105427357601002e-15,ok
200+250+300,300000000,-45,-45.000013622156274,-44.99999999999999,-1.3622156274095687e-05,7.105427357601002e-15,ok
200+250+300,300000000,-30,-30.000007742217562,-30.00000000000003,-7.742217562167752e-06,-2.842170943040401e-14,ok
200+250+300,300000000,-10,-10.000002341398869,-10.000000000000036,-2.3413988685661025e-06,-3.552713678800501e-14,ok
200+250+300,300000000,0,8.202564882074214e-13,-0.0,8.202564882074214e-13,-0.0,ok
200+250+300,300000000,10,10.00000234140051,10.000000000000036,2.341400509919822e-06,3.552713678800501e-14,ok
200+250+300,300000000,30,30.0000077422192,30.000000000000025,7.742219199968758e-06,2.4868995751603507e-14,ok
200+250+300,300000000,45,45.00001362215791,44.999999999999986,1.362215790834398e-05,-1.4210854715202004e-14,ok
200+250+300,300000000,60,60.000000000001705,60.00000000000001,1.7053025658242404e-12,7.105427357601002e-15,ok
200+250+300,500000000,-60,-60.0,-59.999999999999986,0.0,1.4210854715202004e-14,ok
200+250+300,500000000,-45,-45.00001309971865,-45.00000000000003,-1.3099718650266823e-05,-2.842170943040401e-14,ok
200+250+300,500000000,-30,-30.000007449694216,-29.999999999999964,-7.4496942161772495e-06,3.552713678800501e-14,ok
200+250+300,500000000,-10,-10.000002253755051,-10.000000000000016,-2.253755051029316e-06,-1.5987211554602254e-14,ok
200+250+300,500000000,0,8.214670223975554e-13,-0.0,8.214670223975554e-13,-0.0,ok
200+250+300,500000000,10,10.000002253756694,10.000000000000016,2.2537566941593923e-06,1.5987211554602254e-14,ok
